year_actual,month_name,interaction_type,channel,complaint_category,total_interactions,avg_duration,avg_satisfaction,follow_ups_required,avg_resolution_time
2024,August,Keluhan,Call Center,Agent,29,38.6551724137931,3.0454545454545454,11,52.36363636363637
2024,August,Keluhan,Call Center,Harga,22,33.45454545454545,3.25,9,70.5
2024,August,Keluhan,Call Center,Informasi,21,31.857142857142858,3.7857142857142856,8,63.42857142857143
2024,August,Keluhan,Call Center,Layanan,29,36.06896551724138,3.3043478260869565,5,49.04347826086956
2024,August,Keluhan,Call Center,Produk,23,34.30434782608695,3.210526315789474,3,44.21052631578947
2024,August,Keluhan,Call Center,Proses Klaim,24,33.291666666666664,2.8,8,49.6
2024,August,Keluhan,Call Center,Proses Pembayaran,29,33.37931034482759,2.7272727272727275,11,65.45454545454545
2024,August,Keluhan,Email,Agent,28,40.142857142857146,3.0454545454545454,8,75.27272727272727
2024,August,Keluhan,Email,Harga,20,34.15,3.3636363636363638,9,58.90909090909091
2024,August,Keluhan,Email,Informasi,23,40.95652173913044,2.857142857142857,5,65.14285714285714
2024,August,Keluhan,Email,Layanan,24,34.416666666666664,3.3125,8,54.0
2024,August,Keluhan,Email,Produk,40,34.575,3.0,13,57.391304347826086
2024,August,Keluhan,Email,Proses Klaim,29,37.37931034482759,3.588235294117647,8,72.0
2024,August,Keluhan,Email,Proses Pembayaran,22,36.68181818181818,3.0714285714285716,5,58.285714285714285
2024,August,Keluhan,Live Chat,Agent,18,32.833333333333336,2.8333333333333335,4,44.0
2024,August,Keluhan,Live Chat,Harga,20,37.0,2.5833333333333335,4,66.0
2024,August,Keluhan,Live Chat,Informasi,21,36.904761904761905,2.5384615384615383,8,48.0
2024,August,Keluhan,Live Chat,Layanan,32,41.125,3.2727272727272725,8,56.72727272727273
2024,August,Keluhan,Live Chat,Produk,21,35.42857142857143,3.0714285714285716,9,48.0
2024,August,Keluhan,Live Chat,Proses Klaim,25,36.04,2.6666666666666665,6,70.85714285714286
2024,August,Keluhan,Live Chat,Proses Pembayaran,22,35.27272727272727,3.0,5,62.11764705882353
2024,August,Keluhan,Mobile App,Agent,24,33.166666666666664,3.076923076923077,7,49.84615384615385
2024,August,Keluhan,Mobile App,Harga,26,36.07692307692308,3.0588235294117645,10,62.11764705882353
2024,August,Keluhan,Mobile App,Informasi,17,36.1764705882353,2.857142857142857,8,54.857142857142854
2024,August,Keluhan,Mobile App,Layanan,17,34.529411764705884,2.6363636363636362,5,63.27272727272727
2024,August,Keluhan,Mobile App,Produk,22,35.95454545454545,2.9285714285714284,14,49.714285714285715
2024,August,Keluhan,Mobile App,Proses Klaim,32,32.53125,2.4545454545454546,7,55.63636363636363
2024,August,Keluhan,Mobile App,Proses Pembayaran,27,34.925925925925924,2.739130434782609,8,56.34782608695652
2024,August,Keluhan,Social Media,Agent,26,41.73076923076923,3.2777777777777777,9,66.66666666666667
2024,August,Keluhan,Social Media,Harga,27,34.888888888888886,2.7272727272727275,9,49.09090909090909
2024,August,Keluhan,Social Media,Informasi,33,31.636363636363637,3.1666666666666665,5,60.0
2024,August,Keluhan,Social Media,Layanan,21,34.714285714285715,2.6875,6,58.5
2024,August,Keluhan,Social Media,Produk,32,32.21875,3.0,10,48.0
2024,August,Keluhan,Social Media,Proses Klaim,23,34.34782608695652,2.857142857142857,12,53.142857142857146
2024,August,Keluhan,Social Media,Proses Pembayaran,20,31.5,2.9375,6,45.0
2024,August,Keluhan,Walk-in,Agent,29,42.206896551724135,2.95,9,70.8
2024,August,Keluhan,Walk-in,Harga,23,34.608695652173914,3.055555555555556,6,46.666666666666664
2024,August,Keluhan,Walk-in,Informasi,26,33.61538461538461,3.0,5,60.705882352941174
2024,August,Keluhan,Walk-in,Layanan,28,33.5,3.15,10,70.8
2024,August,Keluhan,Walk-in,Produk,21,41.095238095238095,2.8823529411764706,9,64.94117647058823
2024,August,Keluhan,Walk-in,Proses Klaim,25,38.12,3.4375,11,55.5
2024,August,Keluhan,Walk-in,Proses Pembayaran,32,37.5625,3.25,7,63.0
2024,August,Keluhan,Website,Agent,30,36.93333333333333,3.0476190476190474,9,60.57142857142857
2024,August,Keluhan,Website,Harga,26,33.53846153846154,2.9545454545454546,4,51.27272727272727
2024,August,Keluhan,Website,Informasi,29,36.96551724137931,3.1739130434782608,10,64.69565217391305
2024,August,Keluhan,Website,Layanan,29,36.724137931034484,2.6666666666666665,10,69.71428571428571
2024,August,Keluhan,Website,Produk,25,37.48,3.0476190476190474,6,61.714285714285715
2024,August,Keluhan,Website,Proses Klaim,34,36.23529411764706,2.962962962962963,8,62.22222222222222
2024,August,Keluhan,Website,Proses Pembayaran,30,39.766666666666666,3.142857142857143,11,68.57142857142857
