year_actual,month_name,department,jabatan,nama_product,jenis_product,total_activities,total_sales,conversion_rate,avg_activity_duration
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Accusantium,Asuransi Jiwa,79,24,30.37974683544304,48.63291139240506
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Consectetur,Asuransi Jiwa,58,14,24.137931034482758,44.10344827586207
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Corrupti,Asuransi Jiwa,63,14,22.22222222222222,47.04761904761905
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Dicta,Asuransi Jiwa,71,16,22.535211267605636,52.66197183098591
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Dolor,Asuransi Jiwa,64,17,26.5625,45.671875
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Explicabo,Asuransi Jiwa,51,10,19.607843137254903,41.3921568627451
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Fugiat,Asuransi Jiwa,65,16,24.615384615384617,50.56923076923077
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Impedit,Asuransi Jiwa,64,15,23.4375,41.203125
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Ipsum,Asuransi Jiwa,63,19,30.158730158730158,44.55555555555556
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Iure,Asuransi Jiwa,65,18,27.692307692307693,49.50769230769231
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Libero,Asuransi Jiwa,72,19,26.38888888888889,47.041666666666664
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Nam,Asuransi Jiwa,66,12,18.181818181818183,45.81818181818182
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Neque,Asuransi Jiwa,72,21,29.166666666666668,43.486111111111114
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Nisi,Asuransi Jiwa,57,12,21.052631578947366,42.666666666666664
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Nostrum,Asuransi Jiwa,57,16,28.07017543859649,45.19298245614035
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Odit,Asuransi Jiwa,131,36,27.480916030534353,48.10687022900763
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Officia,Asuransi Jiwa,64,18,28.125,44.109375
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Omnis,Asuransi Jiwa,63,13,20.634920634920633,47.61904761904762
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,150,45,30.0,44.08
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Quo,Asuransi Jiwa,59,11,18.64406779661017,39.03389830508475
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Rerum,Asuransi Jiwa,58,16,27.586206896551722,44.241379310344826
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Tempore,Asuransi Jiwa,59,16,27.11864406779661,41.83050847457627
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Ut,Asuransi Jiwa,69,15,21.73913043478261,39.65217391304348
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Veritatis,Asuransi Jiwa,87,23,26.436781609195403,43.333333333333336
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Voluptates,Asuransi Jiwa,69,21,30.434782608695656,49.028985507246375
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Consequatur,Asuransi Kendaraan,62,13,20.967741935483872,43.79032258064516
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Dolorum,Asuransi Kendaraan,67,19,28.35820895522388,43.40298507462686
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Facilis,Asuransi Kendaraan,67,19,28.35820895522388,41.701492537313435
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Harum,Asuransi Kendaraan,76,19,25.0,47.36842105263158
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan In,Asuransi Kendaraan,57,14,24.561403508771928,47.473684210526315
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Ipsa,Asuransi Kendaraan,77,21,27.27272727272727,45.41558441558441
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Officiis,Asuransi Kendaraan,57,15,26.31578947368421,49.92982456140351
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Omnis,Asuransi Kendaraan,51,15,29.411764705882355,42.705882352941174
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Quasi,Asuransi Kendaraan,62,14,22.58064516129032,50.75806451612903
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Quis,Asuransi Kendaraan,78,19,24.358974358974358,41.705128205128204
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Quo,Asuransi Kendaraan,74,15,20.27027027027027,45.013513513513516
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Tempore,Asuransi Kendaraan,57,15,26.31578947368421,45.526315789473685
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Ullam,Asuransi Kendaraan,61,17,27.86885245901639,39.032786885245905
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Vel,Asuransi Kendaraan,69,21,30.434782608695656,41.0
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Voluptatibus,Asuransi Kendaraan,42,7,16.666666666666664,49.76190476190476
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Voluptatum,Asuransi Kendaraan,53,15,28.30188679245283,45.660377358490564
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,57,11,19.298245614035086,47.94736842105263
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Animi,Asuransi Kesehatan,73,13,17.80821917808219,49.68493150684932
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Aut,Asuransi Kesehatan,59,14,23.728813559322035,44.6271186440678
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Blanditiis,Asuransi Kesehatan,67,19,28.35820895522388,46.62686567164179
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Cupiditate,Asuransi Kesehatan,63,15,23.809523809523807,53.111111111111114
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Distinctio,Asuransi Kesehatan,59,11,18.64406779661017,44.6271186440678
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Eaque,Asuransi Kesehatan,69,14,20.28985507246377,48.231884057971016
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Eligendi,Asuransi Kesehatan,64,22,34.375,43.671875
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Eum,Asuransi Kesehatan,63,20,31.746031746031743,40.58730158730159
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Ex,Asuransi Kesehatan,131,32,24.427480916030532,47.6793893129771
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Excepturi,Asuransi Kesehatan,74,24,32.432432432432435,42.648648648648646
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Officia,Asuransi Kesehatan,67,16,23.88059701492537,42.25373134328358
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Officiis,Asuransi Kesehatan,175,43,24.571428571428573,46.89142857142857
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Optio,Asuransi Kesehatan,67,14,20.8955223880597,44.26865671641791
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Soluta,Asuransi Kesehatan,73,18,24.65753424657534,46.28767123287671
