year_actual,month_name,nama_product,jenis_product,kategori_premi,total_registrations,total_premium,total_sum_assured,avg_premium,referral_count
2024,August,Asuransi Jiwa Aliquid,Asuransi Jiwa,High,62,569908486.0,166463612515.0,9192072.35483871,50
2024,August,Asuransi Jiwa Animi,Asuransi Jiwa,High,51,436525069.0,142181883844.0,8559315.078431373,44
2024,August,Asuransi Jiwa Animi,Asuransi Jiwa,Medium,50,152517213.0,47624297868.0,3050344.26,43
2024,August,Asuransi Jiwa Aperiam,Asuransi Jiwa,High,59,372748612.0,108237845391.0,6317773.084745763,46
2024,August,Asuransi Jiwa Commodi,Asuransi Jiwa,High,62,506883116.0,149407942226.0,8175534.129032258,51
2024,August,Asuransi Jiwa Eligendi,Asuransi Jiwa,High,61,408782142.0,125781380781.0,6701346.590163934,52
2024,August,Asuransi Jiwa Facere,Asuransi Jiwa,Medium,44,150707417.0,44498443874.0,3425168.5681818184,38
2024,August,Asuransi Jiwa Fugiat,Asuransi Jiwa,High,63,270042379.0,76865272980.0,4286386.968253968,48
2024,August,Asuransi Jiwa Nemo,Asuransi Jiwa,Medium,65,131360240.0,39396661354.0,2020926.7692307692,52
2024,August,Asuransi Jiwa Neque,Asuransi Jiwa,Medium,50,140369913.0,38279314311.0,2807398.26,43
2024,August,Asuransi Jiwa Odio,Asuransi Jiwa,High,64,493426788.0,149465781154.0,7709793.5625,54
2024,August,Asuransi Jiwa Porro,Asuransi Jiwa,High,108,529582692.0,169282347314.0,4903543.444444444,90
2024,August,Asuransi Jiwa Quae,Asuransi Jiwa,Medium,52,132050106.0,41730142278.0,2539425.1153846155,44
2024,August,Asuransi Jiwa Rem,Asuransi Jiwa,Low,66,31111155.0,9368982404.0,471381.13636363635,57
2024,August,Asuransi Jiwa Repellat,Asuransi Jiwa,Medium,64,95545426.0,28251625067.0,1492897.28125,54
2024,August,Asuransi Jiwa Tempora,Asuransi Jiwa,High,61,343115237.0,109875519169.0,5624839.950819672,53
